Tree No,Soil K,Leaf K,Soil P,Leaf P,Soil N,Leaf N
30,0.062942,0.526851616,0.34302,0.79,0.0159,1.1544
49,0.065793,0.48664081,0.15298,0.18,0.0335,1.5392
54,0.086126,0.490940602,0.15068,0.18,0.0182,0.8658
58,0.048987,0.499633162,0.07022,,0.0159,0.8658
64,0.11179,0.5485,0.11085,0.81,0.0218,2.4293
91,0.140943,0.529178198,0.11184,0.24,0.0124,1.443
104,0.129068,0.51607202,0.05433,0.19,0.0088,1.7148
121,0.068779,0.513027158,0.21392,0.22,0.043,1.2987
143,0.118424,0.51827054,0.23617,0.28,0.01,1.3338
146,0.042895,0.500697837,0.08187,0.31,0.0182,2.0006
148,0.094472,0.543534763,0.06119,0.81,0.0371,2.3569
196,0.04977,0.54435216,0.24848,0.3,0.0194,0.9139
201,0.103056,0.543669872,0.09396,0.22,0.0088,2.7628
209,0.068061,0.534724022,0.13229,0.52,0.0265,2.0483
209,0.038045,0.534724022,0.146,0.21,0.0182,1.2506
258,0.046098,0.50815689,0.09972,0.21,0.0159,2.0959
261,0.122873,0.482434839,0.92633,0.21,0.0441,2.1912
263,0.098232,0.527784027,0.6302,0.19,0.0441,1.3468
285,0.179551,0.531924957,0.14956,0.48,0.043,1.6672
294,0.080419,0.454238718,0.16228,0.6,0.0441,2.2388
302,0.17611,0.531522634,0.1705,0.24,0.0465,1.2506
329,0.11034,0.56009324,0.62504,0.52,0.03,2.3817
329,0.098873,0.531460458,0.08363,0.28,0.0194,1.5243
340,0.128803,0.530966671,0.54043,0.4,0.0147,0.7215
346,0.043235,0.535041029,0.169,0.24,0.01,2.2607
373,0.105831,0.546312265,0.34778,,0.0394,0.7696
416,0.164427,0.522850166,0.43358,0.08,0.0053,1.6672
421,0.058059,0.492070175,0.25166,0.24,0.0088,3.2228
480,0.250999,0.5429068,0.66039,0.02,0.0029,2.2126
499,0.227357,0.515374025,0.33209,0.6,0.0135,1.0101
523,0.045568,0.505288247,0.28522,0.19,0.0371,0.962
564,0.110767,0.529071569,0.16902,0.26,0.0594,2.2864
568,0.156352,0.517604398,0.38294,0.39,0.0171,1.7625
587,0.084823,0.508613317,0.16676,0.01,0.0182,2.0483
601,0.079327,0.486070279,0.30131,,0.0088,2.0959
601,0.155002,0.53856485,0.31342,0.22,0.0382,1.6672
602,0.095425,0.521389578,0.13497,0.22,0.0135,0.7696
641,0.037693,0.439953475,0.3876,0.16,0.0277,2.3341
644,0.086891,0.551632833,0.14507,0.29,0.03,1.1063
659,0.152771,0.5240141,0.19883,0.3,0.0147,1.7148
701,0.057907,0.525963346,0.2306,0.29,0.0147,1.7148
701,0.042487,0.525963346,0.11204,0.21,0.01,0.5772
751,0.072572,0.494075049,0.09317,0.21,0.0324,0.6734
770,0.038875,0.524594078,0.10806,0.65,0.0288,1.6672
783,0.104155,0.535989197,0.19518,0.21,0.03,1.3468
784,0.080736,0.523227666,0.23895,0.22,0.03,1.6672
785,0.080592,0.527855711,0.39377,0.26,0.0124,1.4911
836,0.091269,0.533609399,0.37896,,0.0135,1.953
878,0.106568,0.505465903,0.08602,0.86,0.03,1.0101
879,0.074321,0.542048293,0.06775,0.53,0.0277,1.6196
899,0.074197,0.573859033,0.06784,0.25,0.0229,1.2025
920,0.087243,0.485045694,0.38274,0.23,0.0194,1.8577
948,0.050129,0.489711934,0.15613,0.21,0.0065,1.8577
963,0.07616,0.519477124,0.16308,0.16,0.0477,1.429
996,0.062175,0.473737036,0.06536,0.24,0.0135,0.5772
1022,0.071909,0.544403754,0.39465,0.43,0.0124,1.8101
1051,0.093431,0.541368294,0.13031,0.18,0.0124,1.0101
1062,0.05112,0.950741938,0.4874,0.26,0.0394,2.3817
1064,0.064705,0.533770567,0.063265,0.55,0.0182,2.0006
1070,0.090014,0.476083707,0.2171,0.27,0.0088,2.0006
1087,0.095262,0.517003964,0.1174,,0.0135,1.5243
1127,0.084431,0.546885246,0.41074,0.27,0.0159,1.6672
1156,0.106196,0.539944904,0.57717,0.26,0.0335,2.3341
1190,0.081744,0.51265563,0.06358,0.27,0.0218,1.2506
1209,0.050538,0.488650895,0.057,0.21,0.0218,1.8577
1212,0.084441,0.493238994,0.22087,0.24,0.0371,1.5243
1261,0.059046,0.530886628,0.27316,0.22,0.0065,1.4767
1270,0.070372,0.500176367,0.06279,,0.0265,1.5719
1292,0.070508,0.525564571,0.05305,0.11,0.0277,1.5719
1301,0.092884,0.536665405,0.30627,0.26,0.0188,1.5719
1303,0.058974,0.507080383,0.06874,0.23,0.01,1.8101
1306,0.091284,0.535077502,0.10429,0.28,0.0041,2.3341
1358,0.099814,0.517952203,0.13706,0.2,0.0253,1.3338
1431,0.10519,0.524594353,0.09694,0.28,0.0171,2.1435
1488,0.138069,0.501026393,0.8727,0.25,0.0112,2.0483
1550,0.218563,0.501589825,0.18116,0.15,0.0206,0.962
1569,0.091377,0.419089864,0.05901,0.81,0.0312,0.962
1593,0.095258,0.452724796,0.11065,,0.0359,1.6196
1597,0.217563,0.533751142,0.14133,,0.0124,1.6354
1632,0.092826,0.552678954,0.17084,0.17,0.03,1.3338
1636,0.197455,0.559065482,0.22365,,0.0324,1.6196
1654,0.625657,0.517695962,0.07509,0.8,0.0277,1.2025
1660,0.069866,0.554023535,0.50925,0.26,0.0218,1.5243
1686,0.111025,0.496909433,0.06971,0.51,0.0029,1.0479
1693,0.048452,0.526857571,0.39168,,0.0265,1.1544
1722,0.075725,0.553019663,0.0749,0.76,0.0065,1.6672
1737,0.056193,0.505463475,0.22385,0.71,0.0441,1.4767
1744,0.04344,0.505452876,0.28522,0.27,0.0171,1.6672
1752,0.064191,0.508020731,0.29317,0.15,0.0206,1.5719
1761,0.080311,0.524507042,0.07027,0.27,0.0335,1.9054
1765,0.130221,0.503851167,0.419865,0.52,0.0171,1.6196
1815,0.070623,0.529006244,0.22048,0.27,0.0277,1.0101
1827,0.152785,0.187281009,0.17536,0.81,0.0341,1.8577
1829,0.067739,0.478618978,0.52891,0.76,0.0359,2.0959
1834,0.076006,0.520276359,0.13309,0.21,0.0241,1.9054
1855,0.070496,0.519854235,0.2592,0.23,0.0147,1.3949
1855,0.043986,0.5767278,0.24073,0.23,0.0053,2.2388
1871,0.076118,0.480980085,0.15633,0.24,0.0006,1.6196
1880,0.066364,0.493548749,0.1891,0.27,0.0124,1.5243
1890,0.077531,0.504668305,0.07876,,0.0253,1.5243
1895,0.059152,0.56013196,0.25345,0.15,0.0206,0.962
1917,0.108023,0.489718615,0.17948,0.21,0.0124,1.2025
1982,0.065954,0.517988253,0.46447,0.25,0.0171,1.1544
1995,0.053443,0.496502303,0.1311,0.23,0.0135,1.443
2019,0.063017,0.533390411,0.1889,,0.03,0.6734
2027,0.065509,0.517761557,0.23617,0.64,0.0065,1.7625
2032,0.05992,0.49883775,0.16645,0.25,0.0182,1.5243
2040,0.069393,0.490527332,0.27807,0.54,0.0218,0.7696
2051,0.051778,0.524988378,0.14401,0.2,0.0053,1.5392
2065,0.067998,0.452583277,0.15454,0.63,0.033,1.5392
